酒蔵,ブランド,シリーズ,ブランド優先度,ブランド位置づけ,商品名,分類,甘辛目安,甘辛判定根拠,日本酒度,精米歩合,アルコール度数,おすすめの飲み方,飲み方情報,飲み方出典URL,使用米,容量,参考価格,流通区分,備考,出典URL,出典数
亀齢酒造,亀齢,,A,現行流通で代表銘柄として広く扱われる辛口純米,亀齢 辛口純米 八拾 生酒,純米,辛口,商品名に辛口表記,,80％,17.0度,燗酒,出典記載,https://www.hiroshimasake.com/product/96,中生新千本 ●精米歩合：80％ ●原材料名：米・米麹 ●酵母：自家培養 ●アルコール：17.0度 ●甘辛：辛口 さすが亀齢の上田さんがおすすめするお買い得のお酒,"720ml / 1,800ml","1,430～2,500円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/96,2
亀齢酒造,亀齢,,A,2026年東広島10蔵定期便採用の現行純米吟醸,亀齢 純米吟醸 六拾,純米吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,720ml,,一般流通,2026年5月 東広島10蔵定期便採用,https://e-sake.jp/article/article-1369/,1
亀齢酒造,亀齢,,B,2026年現行流通の原形精米シリーズ,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,純米吟醸,不明,公開情報で判定材料不足,,60％,16度,燗酒,出典記載,https://www.hiroshimasake.com/product/550,千本錦100% ●精米歩合：60％ ●原材料名：米・米麹 ●アルコール：16度 ●甘辛：辛口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独,"720ml / 1,800ml","1,760～2,904円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/550,2
亀齢酒造,亀齢,,B,2026年現行流通の原形精米シリーズ,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒,純米吟醸,不明,公開情報で判定材料不足,,60％,18度,燗酒,出典記載,https://www.hiroshimasake.com/product/581,萌えいぶき ●精米歩合：60％ ●原材料名：米・米麹 ●アルコール：18度 ●甘辛：中口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は日本の貴重な独自文,"720ml / 1,800ml","1,815～3,520円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/581,2
亀齢酒造,亀齢萬年,,A,亀齢萬年を代表する2026年現行の純米大吟醸ライン,亀齢萬年 純米大吟醸原酒五拾 生酒,純米大吟醸,不明,公開情報で判定材料不足,,50％,17度,燗酒,出典記載,https://www.hiroshimasake.com/product/552,広島造賀産線状心白米100% ●精米歩合：50％ ●原材料名：米・米麹 ●アルコール：17度 ●甘辛：辛口 720mlはこちら 亀齢酒造株式会社 東広島市西条本,"720ml / 1,800ml","2,200～3,960円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/552,2
亀齢酒造,亀齢萬年,,C,,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒,純米大吟醸,不明,公開情報で判定材料不足,,50％,18度,燗酒,出典記載,https://www.hiroshimasake.com/product/412,広島造賀産線状心白米100% ●精米歩合：50％ ●原材料名：米・米麹 ●アルコール：18度 ●甘辛：辛口 亀齢酒造株式会社 東広島市西条本町8-18 日本酒は,"720ml / 1,800ml","2,420～4,400円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/412,2
亀齢酒造,亀齢,,C,,純米大吟醸 亀香,純米大吟醸,不明,公開情報で判定材料不足,,,,常温 / 冷酒,地域観光資料,https://higashihiroshima-digital-sightseeing.com/joy/ichioshi/,,,,一般流通,公式直売所の主な販売酒,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/,1
福美人酒造,福美人,,C,,広島の酒,その他,甘口,日本酒度からの目安,-4.0,70%,15度,燗酒,出典記載,https://www.fukubijin.co.jp/SHOP/3110.html,,,,一般流通,,https://www.fukubijin.co.jp/SHOP/3110.html,1
福美人酒造,福美人,,C,,樽酒,その他,やや甘口,日本酒度からの目安,-2.0,70%,15度以上16度未満,要確認,公開情報で要確認,,,,,一般流通,,https://www.fukubijin.co.jp/SHOP/3220.html,3
福美人酒造,福美人,,C,,純金箔入り,その他,やや甘口,日本酒度からの目安,-3.0,70%,15度,要確認,公開情報で要確認,,,,,一般流通,,https://www.fukubijin.co.jp/SHOP/3818.html,1
福美人酒造,福美人,,C,,大吟醸,大吟醸,やや辛口,日本酒度からの目安,+2.5,40%,16度,要確認,公開情報で要確認,,"山田錦（兵庫県産１００） 拡大表示 福美人 大吟醸 300ml 【自宅用におすすめ】 販売期間: 価格: 1,020円 (税込) var arrVari = [",300ml,"1,020円",一般流通,,https://www.fukubijin.co.jp/SHOP/1157.html,1
福美人酒造,福美人,,A,公式が代表的商品として掲載する上位酒,大吟醸 蔵乃華 （ くらのはな ）,大吟醸,やや辛口,日本酒度からの目安,+2.0,40%,17度,常温 / 冷酒,酒造組合系商品資料,https://www.japansake.or.jp/sake/about/kumiaiin/pdf/34.pdf,"山田錦（兵庫県産100％） 拡大表示 福美人 大吟醸 蔵乃華 （ くらのはな ） 1,800ml [ 特製桐箱入 ] 【ギフトにおすすめ】 販売期間: 価格:","300ml / 720ml / 1,800ml","1,020～11,000円",一般流通,,https://www.fukubijin.co.jp/SHOP/1020.html,2
福美人酒造,福美人,,A,蔵の歴史を体現する代表商品,大吟醸 西條酒造学校,大吟醸,やや辛口,日本酒度からの目安,+3.0,40%,16度,冷酒 / 常温,現行酒販店商品情報,https://osake-style.com/SHOP/10020036.html,"山田錦（兵庫県産１００） 拡大表示 福美人 大吟醸 西條酒造学校 720ml [ 豪華化粧箱入 ] 販売期間: 価格: 3,300円 (税込) var arrV","300ml / 720ml / 1,800ml","1,020～5,500円",一般流通,,https://www.fukubijin.co.jp/SHOP/1120.html,2
福美人酒造,福美人,,C,,上撰 さけパック,普通酒・上撰,やや甘口,日本酒度からの目安,-2.0,70%,15度,燗酒,出典記載,https://www.fukubijin.co.jp/SHOP/2268.html,,"2,000ml","2,035円",一般流通,,https://www.fukubijin.co.jp/SHOP/2268.html,1
福美人酒造,福美人,,B,現行本醸造ライン,本醸造 舞,本醸造,不明,公開情報で判定材料不足,,60%,15度,燗酒,出典記載,https://www.fukubijin.co.jp/SHOP/3010.html,,"1,800ml","2,008円",一般流通,,https://www.fukubijin.co.jp/SHOP/3010.html,1
福美人酒造,福美人,,C,,特別純米酒「ひめあま」,特別純米,甘口,日本酒度からの目安,-16.0,60%,14度,冷酒,酒蔵紹介資料,https://www.goshu-pro.jp/chugokushikoku/hiroshima/2415,"国産米 拡大表示 福美人 特別純米酒「ひめあま」 720ml 【あまくちの純米】 販売期間: 価格: 1,500円 (税込) var arrVari = [];",720ml,"1,180～1,500円",一般流通,,https://www.fukubijin.co.jp/SHOP/2080.html,2
福美人酒造,福美人,,A,現行定番純米,純米酒,純米,やや辛口,日本酒度からの目安,+3.0,60%,15度,燗酒,出典記載,https://www.fukubijin.co.jp/SHOP/2020.html,,720ml,"1,180円",一般流通,,https://www.fukubijin.co.jp/SHOP/2020.html,2
福美人酒造,福美人,,A,公式が代表的商品として掲載する定番,純米吟醸,純米吟醸,辛口,日本酒度からの目安,+4.0,60%,15度,燗酒,出典記載,https://www.fukubijin.co.jp/SHOP/1221.html,"国産米 拡大表示 福美人 純米吟醸 720ml 販売期間: 価格: 1,500円 (税込) var arrVari = []; var variationIma","720ml / 1,800ml","1,500～2,970円",一般流通,,https://www.fukubijin.co.jp/SHOP/1221.html,2
賀茂泉酒造,COKUN,,C,,COKUN,その他,不明,公開情報で判定材料不足,,,8度,ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,,500ml,"1,650円",一般流通,,https://www.kamoizumi.co.jp/sake/index.php,1
賀茂泉酒造,賀茂泉,,C,,NAO,その他,不明,公開情報で判定材料不足,,,8度,冷酒 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=151187707,は国産米100% 購入数 本 カートに入れる 返品について | 特定商取引法に基づく表記 おすすめ商品 Rock Hopper Moon Walk 720ml,500ml,"1,760円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=151187707,1
賀茂泉酒造,ROCK HOPPER,,C,,Rock Hopper Moon Walk,その他,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,"720ml / 1,800ml","1,980～3,960円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=193198460,2
賀茂泉酒造,賀茂泉,,A,公式主要熟成酒,山吹色の酒,その他,不明,公開情報で判定材料不足,,60%,15度,常温 / ぬる燗 / ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,広島八反・新千本(国産米100%) 精米歩合：60% アルコール度数：15度 オンラインショップ 「緑泉本仕込」純米吟醸米と水の旨味を100％活かしたいという想,"720ml / 1,800ml","2,057～3,520円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php,3
賀茂泉酒造,賀茂泉,,C,,延寿,その他,不明,公開情報で判定材料不足,,50%,16度,常温 / ぬる燗 / ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,広島県産山田錦100% 精米歩合：50%アルコール度数：16度 オンラインショップ 純米吟醸酒「朱泉本仕込」純米吟醸賀茂泉を代表するお酒が朱泉本仕込です,,,一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php,4
賀茂泉酒造,賀茂泉,,A,公式が「賀茂泉を代表するお酒」と明記,朱泉本仕込,その他,中口,日本酒度からの目安,+1.0,60%,16度,常温 / ぬる燗 / ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,広島八反・中生新千本(国産米100%) 精米歩合：60% アルコール度数：16度 オンラインショップ 「山吹色の酒」純米吟醸弊社が自信をもって醸造している純米吟,"180ml / 720ml / 1,800ml","471～3,850円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php,5
賀茂泉酒造,賀茂泉,,C,,次郎丸井水,その他,不明,公開情報で判定材料不足,,,,冷酒 / 熱燗 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=188379071,,,,一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188379071,2
賀茂泉酒造,賀茂泉,,C,,皇寿,その他,中口,日本酒度からの目安,+1.0,40%,16度,常温 / ぬる燗 / ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,山田錦100%(広島県東広島市造賀地区産米100%)精米歩合：40% アルコ―ル度数：16度 オンラインショップ 「延寿」純米大吟醸清らかな酒都・西条の伏流水と,,,一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php,4
賀茂泉酒造,賀茂泉,,C,,緑泉本仕込,その他,不明,公開情報で判定材料不足,,60%,15～15.9度,ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,広島八反・新千本(国産米100%) 精米歩合：60% アルコール度数：15～15.9度 オンラインショップ 「青泉純米吟醸生酒」純米吟醸冬場に仕込み、春先に搾り,"300ml / 720ml / 1,800ml","649～2,970円",一般流通,公式オンラインショップで販売確認,https://www.kamoizumi.co.jp/sake/index.php,4
賀茂泉酒造,賀茂泉,,C,,青泉 本仕込 生酒,その他,不明,公開情報で判定材料不足,,,,ロック,出典記載,https://online.kamoizumi.com/?pid=191995192,,300ml / 720ml,"726～1,815円",季節商品,公式オンラインショップで販売確認 / 2026-08-07公式直売所で販売案内,https://online.kamoizumi.com/?pid=191995192,3
賀茂泉酒造,賀茂泉,,C,,朱泉普通酒,普通酒・上撰,やや辛口,日本酒度からの目安,+1.5,75%,15.0〜15.9度,冷酒 / ぬる燗 / 熱燗 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=188378827,広島八反・酒造用米(国産米100%) alc度数：15度 辛口 精米歩合：75% アルコール度数：15.0〜15.9度 日本酒度：+1.5 酸度：1.4 使用酵,"1,800ml","2,215～2,246円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188378827,1
賀茂泉酒造,賀茂泉,,C,,緑泉普通酒,普通酒・上撰,中口,日本酒度からの目安,+0.5,75%,15.0〜15.9度,冷酒 / 熱燗 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=188379527,広島八反・酒造用米(国産米100%) 精米歩合：75% アルコール度数：15.0〜15.9度 日本酒度：+0.5 酸度：1.4 使用酵母：協会701号 やや辛口,"1,800ml","1,962～1,978円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188379527,1
賀茂泉酒造,賀茂泉,,C,,純米及川,純米,不明,公開情報で判定材料不足,,,15度,冷酒 / 冷やして / 常温 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=151187597,は国産米100% 1.8Lサイズはこちら 購入数 本 カートに入れる 返品について | 特定商取引法に基づく表記 おすすめ商品 Rock Hopper Moon,"720ml / 1,800ml","1,650～2,970円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=151187597,2
賀茂泉酒造,賀茂泉,,A,公式が入門酒・ウチ飲み定番と明記,純米酒 一 (はじめ),純米,不明,公開情報で判定材料不足,,75%,15度,冷酒 / ぬる燗 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=188377558,酒造用米（国産米100%） 精米歩合：75% 甘辛度：やや辛口 アルコール度数：15度 2015年スローフードジャパン燗酒コントスト金賞受賞酒 2018年全国燗,"300ml / 720ml / 1,800ml","550～2,420円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188377558,3
賀茂泉酒造,賀茂泉,,C,,純米酒｢広大｣,純米,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,"1,800ml","2,640円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188370634,1
賀茂泉酒造,賀茂泉,,A,東広島造賀地区山田錦を使う地域性の高い定番,造賀純米生酒,純米,不明,公開情報で判定材料不足,,70%,15度,ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,山田錦100% 産地：広島県東広島市造賀地区精米歩合：70% アルコール度数：15度 オンラインショップ 「一」純米酒 ‘はじめ’ふくらみのある柔らかな米の旨み,"720ml / 1,800ml","1,595～3,080円",季節商品,,https://www.kamoizumi.co.jp/sake/index.php,1
賀茂泉酒造,賀茂泉,,A,東広島造賀地区山田錦を使う地域性の高い定番,造賀純米酒,純米,不明,公開情報で判定材料不足,,,,常温 / ぬる燗,地域観光資料,https://higashihiroshima-digital-sightseeing.com/joy/ichioshi/,,"720ml / 1,800ml","1,595～3,080円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188377419,2
賀茂泉酒造,賀茂泉,,C,,造賀純米酒 ひやおろし,純米,不明,公開情報で判定材料不足,,70%,15度,ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,東広島造賀地区産山田錦100% 精米歩合：70% アルコール度数：15度 オンラインショップ 「造賀純米生酒」純米酒東広島市造賀地区で収穫された「山田錦」を10,,,季節商品,,https://www.kamoizumi.co.jp/sake/index.php,1
賀茂泉酒造,賀茂泉,,C,,純米吟醸「古酒」,純米吟醸,やや辛口,日本酒度からの目安,+1.5,,16度,冷酒 / 常温 / ぬる燗 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=188373081,広島八反・新千本(国産米100%) 製米歩合：60% アルコール度数：16度 日本酒度：+1.5 酸度：1.8 容量：720ml 購入数 本 カートに入れる 返,720ml,"3,850円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188373081,1
賀茂泉酒造,ROCK HOPPER,,B,公式現行生原酒シリーズ,純米吟醸生原酒 ROCK HOPPER,純米吟醸,不明,公開情報で判定材料不足,,70%,15度,ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,山田錦100％(東広島市造賀地区産米100％) 精米歩合：70% アルコール度数：15度 オンラインショップ 「造賀純米酒 ひやおろし」純米酒外気と蔵内の気温が,"720ml / 1,800ml","4,070円",一般流通,2026-08-07時点で720ml完売。終売とは確認できない,https://www.kamoizumi.co.jp/sake/index.php,2
賀茂泉酒造,賀茂泉,,C,,青泉純米吟醸生酒,純米吟醸,不明,公開情報で判定材料不足,,60%,15度,ロック,出典記載,https://www.kamoizumi.co.jp/sake/index.php,山田錦100％(東広島市造賀地区産米100％) 精米歩合：70% アルコール度数：15度 オンラインショップ 「造賀純米酒 ひやおろし」純米酒外気と蔵内の気温が,,,季節商品,,https://www.kamoizumi.co.jp/sake/index.php,1
賀茂泉酒造,賀茂泉,,A,公式が醸造技術の極み・究極のお酒と説明,純米大吟醸,純米大吟醸,不明,公開情報で判定材料不足,,50%,16度,冷酒 / 冷やして / 燗酒,出典記載,https://online.kamoizumi.com/?pid=188371835,広島県産山田錦100% 精米歩合：50% アルコール度数：16度 日本酒度：±0.0 酸度：1.7 使用酵母：KA-1 容量：500ml やや辛口 アメリカへも,"180ml / 300ml / 500ml / 720ml / 1,800ml","1,100～22,000円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188371835,1
賀茂泉酒造,賀茂泉,,C,,純米大吟醸｢広大｣,純米大吟醸,やや辛口,日本酒度からの目安,+3.0,50%,16度,冷酒 / 燗酒,出典記載,https://online.kamoizumi.com/?pid=188371751,広島県産山田錦100% 精米歩合：50% アルコール度数：16度 日本酒度：+3.0 酸度：1.5 使用酵母：KA-1 容量：720ml 辛口 購入数 本 カー,720ml,"2,640円",一般流通,公式オンラインショップで販売確認,https://online.kamoizumi.com/?pid=188371751,1
山陽鶴酒造,山陽鶴,,C,,大吟醸,大吟醸,不明,公開情報で判定材料不足,,,,冷酒,現行地域商品紹介,https://japan-stroll.com/sightseeing/nontasakagura/,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu,1
山陽鶴酒造,山陽鶴,,A,公式五酒セットで「代表的なお酒」と明記,上撰,普通酒・上撰,不明,公開情報で判定材料不足,,,,常温 / 熱燗（提供例）,現行飲食店での提供温度,https://www.hotpepper.jp/strJ000661918/drink/,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu,1
山陽鶴酒造,山陽鶴,,A,公式五酒セットで「代表的なお酒」と明記,本醸造,本醸造,不明,公開情報で判定材料不足,,,,冷酒 / 常温 / 燗酒,地域観光資料,https://higashihiroshima-digital-sightseeing.com/joy/ichioshi/,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu,1
山陽鶴酒造,山陽鶴,,A,公式五酒セットで「代表的なお酒」と明記,純米吟醸,純米吟醸,不明,公開情報で判定材料不足,,,,要確認,公開情報で要確認,,,,,一般流通,公式五酒セットに現行代表酒として掲載,https://sanyotsuru.jp/archives/product/gosyu,1
山陽鶴酒造,山陽鶴,,A,現行通年返礼品・代表高級酒,純米大吟醸 KUBO,純米大吟醸,辛口,日本酒度からの目安,+4,35%,16度以上17度以下,冷酒,現行返礼品で確認,https://www.furusato.aeon.co.jp/gift-in-return/aaa72316281ae6d75280fb28cb3cae46/,山田錦100%,720ml,,一般流通,2026年6月 東広島10蔵定期便採用／通年返礼品で提供,https://www.furusato.aeon.co.jp/gift-in-return/aaa72316281ae6d75280fb28cb3cae46/,2
山陽鶴酒造,山陽鶴,,A,現行地域製品DBで販売場所掲載の代表大吟醸,大吟醸 ほんと,大吟醸,やや辛口,現行商品情報の明示表現,+4,35%,17度,冷酒 / 常温,現行日本酒情報DB,https://www.sakenomy.jp/sake/TST0000008908/,山田錦,720ml,,一般流通,現行地域製品DBに販売場所掲載。個別販売SKUを確認。,https://www.buyhiro.com/database/products/products_0549/,2
