酒蔵,元データ,処理,理由,統合先
白牡丹酒造,【日本酒 白牡丹】広島八反 純米吟醸７２０ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島八反 純米吟醸
白牡丹酒造,【日本酒 白牡丹】広島八反 純米大吟醸 原酒720ml瓶詰 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島八反 純米大吟醸 原酒
白牡丹酒造,【日本酒 白牡丹】広島特撰 芳華金紋１．８Ｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島特撰 芳華金紋
白牡丹酒造,【日本酒 白牡丹】広島特撰 芳華金紋３００ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,広島特撰 芳華金紋
白牡丹酒造,【日本酒 白牡丹】恋華 RENKA ３００ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,恋華 RENKA
白牡丹酒造,【日本酒 白牡丹】恋華RENKA ROUGE ３００ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,恋華 RENKA
白牡丹酒造,【日本酒 白牡丹】新酒純米 1.8L瓶詰 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,新酒純米
白牡丹酒造,【日本酒 白牡丹】新酒純米 300ml瓶詰 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,新酒純米
白牡丹酒造,【日本酒 白牡丹】新酒純米 720ml瓶詰 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,新酒純米
白牡丹酒造,【日本酒 白牡丹】本醸造 生貯蔵酒１８０ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 生貯蔵酒
白牡丹酒造,【日本酒 白牡丹】本醸造 生貯蔵酒３００ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,本醸造 生貯蔵酒
白牡丹酒造,【日本酒 白牡丹】本醸造１．８Ｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】生もと純米 第一号 火当て ７２０ｍｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】純米吟醸 中汲み 1.8L瓶詰【流通限定】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸 中汲み 720ml瓶詰【流通限定】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸 生貯蔵酒 300ml瓶詰【輸出専用】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸 生貯蔵酒300ml瓶,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸 生貯蔵酒１８０ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸 萌えいぶき 1.8L瓶,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸 萌えいぶき 720ml瓶,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸１．８Ｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米吟醸７２０ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 令和一号酵母 720ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 令和一号酵母
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 原酒 万年蔵 杜氏鹿島正 １．８Ｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 原酒 万年蔵 杜氏 鹿島正
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 原酒 万年蔵 杜氏鹿島正 ７２０ml瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 原酒 万年蔵 杜氏 鹿島正
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 悠星 ７２０ml瓶【ユウセイ】,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】純米大吟醸 龍王井 1.8L瓶詰【輸出専用】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米大吟醸 龍王井
白牡丹酒造,【日本酒 白牡丹】純米酒 １．８Ｌ瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】純米酒 ３００ml瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】純米酒 ７２０ml瓶詰,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】華 純米吟醸 720ml瓶【輸出専用】 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,純米吟醸
白牡丹酒造,【日本酒 白牡丹】超特撰1.8L瓶詰化粧箱入 （２本詰） TA-50,未採用,一般流通の商品単位へ確実に対応づけられないため本表には不採用,
白牡丹酒造,【日本酒 白牡丹】超特撰純金箔入1.8L瓶詰 TA-30Ｋ,SKU統合,容量・包装・商品コード違いを商品単位へ統合,超特撰 純金箔入
白牡丹酒造,【日本酒 白牡丹】長期低温熟成 大吟醸 FLUSSO,SKU統合,容量・包装・商品コード違いを商品単位へ統合,長期低温熟成 大吟醸 FLUSSO
白牡丹酒造,【日本酒 藝陽男山】生酛純米酒 夏仕込み おりがらみ 720ml瓶詰 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,生酛純米酒 夏仕込み
白牡丹酒造,【日本酒 藝陽男山】生酛純米酒 夏仕込み 生酒 720ml瓶詰 - 白牡丹酒造,SKU統合,容量・包装・商品コード違いを商品単位へ統合,生酛純米酒 夏仕込み
白牡丹酒造,【藝陽男山】生もと純米酒 夏仕込み おりがらみ ７２０ｍｌ瓶詰,SKU統合,容量・包装・商品コード違いを商品単位へ統合,生酛純米酒 夏仕込み おりがらみ
