酒蔵,商品名,容量ml,JAN,商品コード,価格円税込,販売状態,在庫状態,販売チャネル,業務卸可否,輸出可否,要冷蔵,確認日,主出典ID,出典種別,URL,出典数,代替URL,備考
白牡丹酒造,【日本酒 白牡丹】新酒純米 300ml瓶詰 - 白牡丹酒造,300,4950198281612,,473,販売中,在庫あり,季節限定,未確認,未確認,不明,2026-09-05,CSKU_9AF6B009656B,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-300ml%e7%93%b6%e8%a9%b0-2/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 白牡丹】新酒純米 720ml瓶詰 - 白牡丹酒造,720,4950198281513,,1210,販売中,在庫あり,季節限定,未確認,未確認,不明,2026-09-05,CSKU_6B1FF636C3B7,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e6%96%b0%e9%85%92%e7%b4%94%e7%b1%b3-720ml%e7%93%b6%e8%a9%b0/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 白牡丹】本醸造 生貯蔵酒１８０ml瓶詰,180,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_DA7808B1BD2D,official_ec,https://hakubotan.shop-pro.jp/?pid=108340210,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】本醸造 生貯蔵酒３００ml瓶詰,300,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_0800E633BA73,official_ec,https://hakubotan.shop-pro.jp/?pid=108340184,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】本醸造１．８Ｌ瓶詰,1800,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_4FAF52D3E364,official_ec,https://hakubotan.shop-pro.jp/?pid=192006601,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】生もと純米 第一号 火当て ７２０ｍｌ瓶詰,720,,,,不明,売切,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_1BBE3D69054E,official_ec,https://hakubotan.shop-pro.jp/?pid=178188678,1,,公式EC掲載
白牡丹酒造,【日本酒 白牡丹】純米吟醸 中汲み 1.8L瓶詰【流通限定】 - 白牡丹酒造,1800,4950198220819,,4400,不明,不明,流通限定,未確認,未確認,不明,2026-09-05,CSKU_530200D5786A,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-1-8l%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 白牡丹】純米吟醸 中汲み 720ml瓶詰【流通限定】 - 白牡丹酒造,720,4950198220710,,2200,不明,不明,流通限定,未確認,未確認,不明,2026-09-05,CSKU_DE874C98A0F8,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e4%b8%ad%e6%b1%b2%e3%81%bf-720ml%e7%93%b6%e8%a9%b0%e3%80%90%e6%b5%81%e9%80%9a%e9%99%90/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 白牡丹】純米吟醸 生貯蔵酒 300ml瓶詰【輸出専用】 - 白牡丹酒造,300,,,,不明,不明,輸出限定,未確認,確認済み,不明,2026-09-05,CSKU_6457EBE4BCA5,official_catalog,https://www.hakubotan.co.jp/products/%e3%80%90%e6%97%a5%e6%9c%ac%e9%85%92-%e7%99%bd%e7%89%a1%e4%b8%b9%e3%80%91%e7%b4%94%e7%b1%b3%e5%90%9f%e9%86%b8-%e7%94%9f%e8%b2%af%e8%94%b5%e9%85%92-300ml%e7%93%b6%e8%a9%b0-%e3%80%90%e8%bc%b8%e5%87%ba/,1,,公式商品カタログの限定区分
白牡丹酒造,【日本酒 白牡丹】純米吟醸 生貯蔵酒300ml瓶,300,,,,販売中,不明,通常/不明,未確認,未確認,不明,2026-09-05,CSKU_B7FF0010AEB3,official_ec,https://hakubotan.shop-pro.jp/?pid=139712082,1,,公式EC掲載
