酒蔵,ブランド,シリーズ,主要銘柄,商品名,分類,甘辛目安,日本酒度,精米歩合,アルコール度数,飲み方,使用米,容量,参考価格,流通区分,備考,出典URL
西條鶴醸造,西條鶴,,○,純米大吟醸原酒「神髄」,純米大吟醸,不明,,,,常温,,"180ml / 500ml / 720ml / 1,800ml","6,600円",一般流通,,https://saijotsuru.co.jp/?pid=180817561
西條鶴醸造,西條鶴,,,広島流辛口吟醸 吟醸生酒,吟醸,辛口,,,,要確認,,720ml,"2,200円",季節商品,,https://saijotsuru.co.jp/?pid=178569049
西條鶴醸造,西條鶴,,,新・生酛純米原酒「Natural」,純米,不明,,,,要確認,,,,一般流通,,https://saijotsuru.co.jp/?pid=168115135
西條鶴醸造,西條鶴,,,純米『愛山』70,純米,不明,,,,要確認,,500ml,"2,200円",限定流通,,https://saijotsuru.co.jp/?pid=191215726
西條鶴醸造,西條鶴,,,純米にごり酒（微発泡タイプ生酒）,純米,不明,,,,要確認,,720ml,"2,000円",季節商品,,https://saijotsuru.co.jp/?pid=155394785
西條鶴醸造,西條鶴,,,純米生原酒,純米,不明,,,,冷酒,,300ml / 720ml,,一般流通,,https://saijotsuru.co.jp/?pid=154356753
西條鶴醸造,西條鶴,,,酒蔵限定酒・杜氏入魂無濾過純米生酒,純米,不明,,,,要確認,,720ml,"2,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356283
西條鶴醸造,西條鶴,,,酒蔵限定酒・無濾過純米生酒,純米,不明,,,,要確認,,720ml,"2,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356253
西條鶴醸造,西條鶴,,,純米吟醸「雄町・秋あがり」,純米吟醸,不明,,,,要確認,,,,一般流通,,https://saijotsuru.co.jp/?pid=154356132
西條鶴醸造,西條鶴,,,酒蔵限定酒・無濾過純米吟醸生酒,純米吟醸,不明,,,,要確認,,720ml,"3,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356266
西條鶴醸造,西條鶴,,,酒蔵限定酒・純米吟醸「備前雄町」,純米吟醸,不明,,,,要確認,,720ml,"2,500円",限定流通,,https://saijotsuru.co.jp/?pid=154356303
西條鶴醸造,西條鶴,,,純米大吟醸「西鶴」,純米大吟醸,不明,,,,常温,,720ml,,一般流通,,https://saijotsuru.co.jp/?pid=157617273
西條鶴醸造,西條鶴,,,純米大吟醸原酒「飛天空」,純米大吟醸,不明,,,,要確認,,720ml,,一般流通,,https://saijotsuru.co.jp/?pid=154356442
西條鶴醸造,西條鶴,,,酒蔵限定酒・純米大吟醸原酒,純米大吟醸,不明,,,,要確認,,720ml,"4,000円",限定流通,,https://saijotsuru.co.jp/?pid=154356394
亀齢酒造,亀齢,,○,吉田屋の酒,その他,不明,,,,要確認,,,,一般流通,公式直売所の主な販売酒,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/
亀齢酒造,亀齢,,○,亀齢 大吟醸 創,大吟醸,辛口,＋５,４５％,17度以上18度未満,冷酒 / ロック,山田錦,720ml,"3,300円",一般流通,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/17
亀齢酒造,亀齢,,○,亀齢 辛口純米 八拾,純米,辛口,＋５,８０％,17度,要確認,中生新千本,"720ml / 1,800ml","1,430～2,500円",限定流通,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/37
亀齢酒造,亀齢萬年,,○,亀齢萬年 純米大吟醸原酒五拾 生酒,純米大吟醸,辛口,,50％,17度,要確認,広島造賀産線状心白米100%,"720ml / 1,800ml","2,200～3,960円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/552
亀齢酒造,亀齢,,○,純米大吟醸 亀香,純米大吟醸,不明,,,,常温 / 冷酒,,,,一般流通,公式直売所の主な販売酒,https://kireikireikirei.jimdofree.com/酒蔵土産売場-まねきや/
亀齢酒造,亀齢萬年,,,亀齢萬年 山田錦 生酒,その他,辛口,,60％,17度,要確認,山田錦,"720ml / 1,800ml","1,408～2,640円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/15
亀齢酒造,亀齢萬年,,,亀齢萬年 山田錦おりがらみ 生酒,その他,辛口,,60％,17度,要確認,山田錦,"720ml / 1,800ml","1,408～2,640円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/564
亀齢酒造,亀齢,,,亀齢 上撰,普通酒・上撰,辛口,,,,冷酒 / 燗酒,,"1,800ml","2,398円",一般流通,現行酒販店で在庫ありを確認,https://osake-style.com/SHOP/11012948.html
亀齢酒造,亀齢,,,亀齢 無濾過 五段仕込純米酒 八九(はちく) 生酒,純米,甘口,-18,70％,17度,要確認,,"720ml / 1,800ml","1,650～2,860円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/182
亀齢酒造,亀齢,,,亀齢 辛口純米 八拾 生酒,純米,辛口,,80％,17.0度,要確認,中生新千本,"720ml / 1,800ml","1,430～2,500円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/96
亀齢酒造,亀齢,,,亀齢 純米吟醸 六拾,純米吟醸,不明,,,,要確認,,720ml,,一般流通,2026年5月 東広島10蔵定期便採用,https://e-sake.jp/article/article-1369/
亀齢酒造,亀齢,,,亀齢 純米吟醸 原形精米 migaki 無濾過生酒,純米吟醸,辛口,,60％,16度,要確認,千本錦100%,"720ml / 1,800ml","1,760～2,904円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/550
亀齢酒造,亀齢,,,亀齢 純米吟醸 原形精米 migaki 萌えいぶき 生酒,純米吟醸,不明,,60％,18度,要確認,萌えいぶき,"720ml / 1,800ml","1,815～3,520円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/581
亀齢酒造,亀齢萬年,,,亀齢萬年 純米大吟醸原酒五拾 袋吊りおりがらみ 生酒,純米大吟醸,辛口,,50％,18度,要確認,広島造賀産線状心白米100%,"720ml / 1,800ml","2,420～4,400円",季節商品,現行小売店で販売確認（メーカー公式の販売状態ではない）,https://www.hiroshimasake.com/product/412
福美人酒造,福美人,,○,大吟醸 蔵乃華 （ くらのはな ）,大吟醸,やや辛口,+2.0,40%,17度,常温 / 冷酒,山田錦（兵庫県産100%）,"720ml / 1,800ml","5,500～11,000円",一般流通,,https://www.fukubijin.co.jp/SHOP/1020.html
福美人酒造,福美人,,○,大吟醸 西條酒造学校,大吟醸,やや辛口,+3.0,40%,16度,冷酒 / 常温,山田錦（兵庫県産100%）,"720ml / 1,800ml","3,300～5,500円",一般流通,,https://www.fukubijin.co.jp/SHOP/1120.html
福美人酒造,福美人,,○,上撰,普通酒・上撰,不明,,,,要確認,,720ml,,要確認,主要銘柄管理から統合。現行根拠は内部監査表を参照。,https://www.fukubijin.co.jp/SHOP/2230.html
福美人酒造,福美人,,○,純米酒,純米,やや辛口,+3.0,60%,15度,燗酒,国産米,"720ml / 1,800ml","1,180～2,300円",一般流通,,https://www.fukubijin.co.jp/SHOP/2020.html
福美人酒造,福美人,,○,純米吟醸,純米吟醸,辛口,+4.0,60%,15度,燗酒,国産米,"720ml / 1,800ml","1,500～2,970円",一般流通,,https://www.fukubijin.co.jp/SHOP/1221.html
福美人酒造,福美人,,,広島の酒,その他,甘口,-4.0,70%,15度,燗酒,,,,一般流通,,https://www.fukubijin.co.jp/SHOP/3110.html
福美人酒造,福美人,,,樽酒,その他,やや甘口,-2.0,70%,15度以上16度未満,要確認,,,,一般流通,,https://www.fukubijin.co.jp/SHOP/3220.html
福美人酒造,福美人,,,純金箔入り,その他,やや甘口,-3.0,70%,15度,要確認,,,,一般流通,,https://www.fukubijin.co.jp/SHOP/3818.html
